SN,Commodity,Date,Unit,Minimum,Maximum,Average
0,Tomato Big(Nepali),2013-06-16,Kg,35.0,40.0,37.5
1,Tomato Small(Local),2013-06-16,Kg,26.0,32.0,29.0
2,Potato Red,2013-06-16,Kg,20.0,21.0,20.5
3,Potato White,2013-06-16,Kg,15.0,16.0,15.5
4,Onion Dry (Indian),2013-06-16,Kg,28.0,30.0,29.0
5,Carrot(Local),2013-06-16,Kg,30.0,35.0,32.5
6,Cabbage(Local),2013-06-16,Kg,6.0,10.0,8.0
7,Cauli Local,2013-06-16,Kg,30.0,35.0,32.5
8,Raddish Red,2013-06-16,Kg,35.0,40.0,37.5
9,Raddish White(Local),2013-06-16,Kg,25.0,30.0,27.5
10,Brinjal Long,2013-06-16,Kg,16.0,18.0,17.0
11,Brinjal Round,2013-06-16,Kg,20.0,22.0,21.0
12,Cow pea(Long),2013-06-16,Kg,20.0,25.0,22.5
13,Green Peas,2013-06-16,Kg,55.0,60.0,57.5
14,French Bean(Local),2013-06-16,Kg,25.0,30.0,27.5
15,Soyabean Green,2013-06-16,Kg,60.0,70.0,65.0
16,Bitter Gourd,2013-06-16,Kg,14.0,16.0,15.0
17,Bottle Gourd,2013-06-16,Kg,15.0,20.0,17.5
18,Pointed Gourd(Local),2013-06-16,Kg,30.0,35.0,32.5
19,Snake Gourd,2013-06-16,Kg,25.0,30.0,27.5
20,Smooth Gourd,2013-06-16,Kg,20.0,25.0,22.5
21,Sponge Gourd,2013-06-16,Kg,45.0,50.0,47.5
22,Pumpkin,2013-06-16,Kg,18.0,20.0,19.0
23,Squash(Long),2013-06-16,Kg,30.0,35.0,32.5
24,Turnip,2013-06-16,Kg,45.0,50.0,47.5
25,Okara,2013-06-16,Kg,20.0,25.0,22.5
26,Christophine,2013-06-16,Kg,38.0,40.0,39.0
27,Brd Leaf Mustard,2013-06-16,Kg,45.0,50.0,47.5
28,Spinach Leaf,2013-06-16,Kg,50.0,55.0,52.5
29,Cress Leaf,2013-06-16,Kg,55.0,60.0,57.5
30,Mustard Leaf,2013-06-16,Kg,40.0,45.0,42.5
31,Fenugreek Leaf,2013-06-16,Kg,55.0,60.0,57.5
32,Onion Green,2013-06-16,Kg,40.0,45.0,42.5
33,Mushroom(Kanya),2013-06-16,Kg,150.0,160.0,155.0
34,Asparagus,2013-06-16,Kg,100.0,150.0,125.0
35,Neuro,2013-06-16,Kg,50.0,60.0,55.0
36,Brocauli,2013-06-16,Kg,70.0,80.0,75.0
37,Sugarbeet,2013-06-16,Kg,35.0,40.0,37.5
38,Drumstick,2013-06-16,Kg,35.0,40.0,37.5
39,Red Cabbbage,2013-06-16,Kg,70.0,80.0,75.0
40,Lettuce,2013-06-16,Kg,55.0,60.0,57.5
41,Celery,2013-06-16,Kg,120.0,130.0,125.0
42,Parseley,2013-06-16,Kg,180.0,190.0,185.0
43,Fennel Leaf,2013-06-16,Kg,70.0,80.0,75.0
44,Mint,2013-06-16,Kg,120.0,130.0,125.0
45,Turnip A,2013-06-16,Kg,40.0,45.0,42.5
